ICAO,IATA,Name,City,Province,Country,Lat,Lon,Elev,OffUTC,OffDST,TZone
KZ,3FD1,TAMPA BAY EXECUTIVE,,FLORIDA,USA,28.188011,-82.625625,41,-5,-4,America/Kentucky/Monticello
KZ,3FM,FREMONT MUNI,,MICHIGAN,USA,43.438906,-85.994781,772,-5,-4,America/Detroit
KZ,3FU,FAULKTON MUNI,,SOUTH DAKOTA,USA,45.031919,-99.115664,1569,-6,-5,America/North_Dakota/New_Salem
KZ,3G1,ERIE CO,,PENNSYLVANIA,USA,42.0445,-79.853939,1450,-5,-4,America/Detroit
KZ,3G2,GRYGLA MUNI MEL WILKENS FLD,,MINNESOTA,USA,48.296667,-95.627222,1177,-6,-5,America/North_Dakota/Center
KZ,3G3,WADSWORTH MUNI,,OHIO,USA,41.003056,-81.756528,974,-5,-4,America/Detroit
KZ,3G4,ASHLAND CO,,OHIO,USA,40.902972,-82.255639,1206,-5,-4,America/Detroit
KZ,3G5,DAWSON AAF,,WEST VIRGINIA,USA,39.450092,-79.666444,1265,-5,-4,America/Detroit
KZ,3G6,TRI CITY,,OHIO,USA,40.906,-81.000028,1188,-5,-4,America/Detroit
KZ,3G7,WILLIAMSON SODUS,,NEW YORK,USA,43.234722,-77.120972,425,-5,-4,America/New_York
KZ,3GA7,RHODES AIR PARK,,TENNESSEE,USA,33.1625,-81.768333,195,-5,-4,America/Kentucky/Monticello
KZ,3GE4,FOX MOUNTAIN,,GEORGIA,USA,34.73,-85.541944,925,-5,-4,America/Kentucky/Monticello
KZ,3GM,GRAND HAVEN MEM ARPK,,MICHIGAN,USA,43.034047,-86.198164,604,-5,-4,America/Indiana/Winamac
KZ,3GV,EAST KANSAS CITY,,MISSOURI,USA,39.015564,-94.213281,835,-6,-5,America/Chicago
KZ,3H4,HILLSBORO MUNI,,NORTH DAKOTA,USA,47.359408,-97.060417,905,-6,-5,America/North_Dakota/Center
KZ,3HO,HOBART SKY RANCH,,INDIANA,USA,41.554203,-87.262536,644,-6,-5,America/Chicago
KZ,3I2,MASON CO,,WEST VIRGINIA,USA,38.914639,-82.098583,643,-5,-4,America/Indiana/Vevay
KZ,3I3,SKY KING,,INDIANA,USA,39.547786,-87.377353,496,-5,-4,America/Indiana/Vincennes
KZ,3I4,RICHWOOD MUNI,,WEST VIRGINIA,USA,38.258447,-80.650647,2486,-5,-4,America/Indiana/Vevay
KZ,3I6,PAINTSVILLE PRESTONSBURG COMBS FLD,,KENTUCKY,USA,37.745928,-82.77905,624,-5,-4,America/Kentucky/Monticello
KZ,3I7,PHILLIPSBURG,,OHIO,USA,39.913442,-84.400308,1031,-5,-4,America/Indiana/Vevay
KZ,3J0,HAMPTON VARNVILLE,,SOUTH CAROLINA,USA,32.867778,-81.083161,113,-5,-4,America/Kentucky/Monticello
KZ,3J1,RIDGELAND,,SOUTH CAROLINA,USA,32.492686,-80.992331,79,-5,-4,America/Kentucky/Monticello
KZ,3J7,GREENE COUNTY RGNL,,GEORGIA,USA,33.597875,-83.138319,677,-5,-4,America/Kentucky/Monticello
KZ,3JC,FREEMAN FLD,,KANSAS,USA,39.043275,-96.843286,1101,-6,-5,America/Chicago
KZ,3K3,SYRACUSE HAMILTON CO MUNI,,KANSAS,USA,37.991681,-101.746283,3322,-7,-6,America/Denver
KZ,3K6,ST LOUIS METRO EAST SHAFER FIELD,,ILLINOIS,USA,38.732911,-89.806564,477,-6,-5,America/Indiana/Tell_City
KZ,3K7,MARK HOARD MEM,,KANSAS,USA,38.456964,-101.353217,3303,-6,-5,America/North_Dakota/New_Salem
KZ,3K8,COMANCHE CO,,KANSAS,USA,37.228081,-99.330947,2000,-6,-5,America/North_Dakota/New_Salem
KZ,3L2,SKY RANCH,,NEVADA,USA,35.795253,-115.627228,2599,-8,-7,America/Los_Angeles
KZ,3LF,LITCHFIELD MUNI,,ILLINOIS,USA,39.162492,-89.674636,690,-6,-5,America/Indiana/Tell_City
KZ,3M2,DOUBLE SPRINGS WINSTON CO,,ALABAMA,USA,34.144547,-87.327792,753,-6,-5,America/Indiana/Tell_City
KZ,3M3,COLLEGEDALE MUNI,,TENNESSEE,USA,35.043131,-85.021894,860,-5,-4,America/Kentucky/Monticello
KZ,3M7,LAFAYETTE MUNI,,TENNESSEE,USA,36.518375,-86.058281,970,-6,-5,America/Indiana/Tell_City
KZ,3M8,NORTH PICKENS,,ALABAMA,USA,33.386753,-88.006581,237,-6,-5,America/Indiana/Tell_City
KZ,3M9,WARREN MUNI,,ARKANSAS,USA,33.560444,-92.085389,235,-6,-5,America/Indiana/Tell_City
KZ,3MO4,PENMAN,,MISSOURI,USA,36.450619,-89.628136,287,-6,-5,America/Indiana/Tell_City
KZ,3MY,MT HAWLEY AUXILIARY,,ILLINOIS,USA,40.795278,-89.613336,785,-6,-5,America/Chicago
KZ,3N6,OLD BRIDGE,,NEW JERSEY,USA,40.329886,-74.346786,87,-5,-4,America/New_York
KZ,3NJ6,INDUCTOTHERM,,NEW JERSEY,USA,40.015111,-74.842942,65,-5,-4,America/New_York
KZ,3O1,GUSTINE,,CALIFORNIA,USA,37.262717,-120.963258,75,-8,-7,America/Los_Angeles
KZ,3O4,SAYRE MUNI,,OKLAHOMA,USA,35.167553,-99.657875,1937,-6,-5,America/Indiana/Tell_City
KZ,3O7,HOLLISTER MUNI,,CALIFORNIA,USA,36.893344,-121.410269,230,-8,-7,America/Los_Angeles
KZ,3O9,GRAND LAKE RGNL,,OKLAHOMA,USA,36.577578,-94.8619,792,-6,-5,America/Indiana/Tell_City
KZ,3OK5,BEARDEN,,OKLAHOMA,USA,34.728611,-97.605833,1180,-6,-5,America/Indiana/Tell_City
KZ,3OL8,HARRISON,,OKLAHOMA,USA,36.877853,-95.149133,805,-6,-5,America/Indiana/Tell_City
KZ,3P3,MOTT MUNI,,NORTH DAKOTA,USA,46.359725,-102.322939,2411,-7,-6,America/Denver
KZ,3R0,BEEVILLE MUNI,,TEXAS,USA,28.364556,-97.792083,270,-6,-5,America/Indiana/Tell_City
KZ,3R2,LE GROS MEM,,LOUISIANA,USA,30.161039,-92.484856,17,-6,-5,America/Indiana/Tell_City
KZ,3R4,HART,,LOUISIANA,USA,31.544897,-93.486453,324,-6,-5,America/Indiana/Tell_City
KZ,3R7,JENNINGS,,LOUISIANA,USA,30.242694,-92.673447,23,-6,-5,America/Indiana/Tell_City
KZ,3R9,LAKEWAY AIRPARK,,TEXAS,USA,30.357583,-97.994472,909,-6,-5,America/Indiana/Tell_City
